i,13.612083014878682
n,11.84371554133283
a,10.271941505425403
u,7.801277521378171
e,7.626295755702896
h,7.164030077431619
g,6.9063651929942225
o,5.599020042550294
d,3.390921772522662
z,3.2078060815628335
s,3.043755790303162
y,3.0377530651217692
j,2.27861400444533
l,1.7975732908547617
x,1.7477460185738651
c,1.481023999025567
b,1.4407452477308862
t,1.2788168500237074
w,1.2654228623011325
m,1.1415433663483838
q,1.104762016795048
r,0.9785521605548252
f,0.8688130376882917
k,0.6108447596990917
p,0.39536646944348575
v,0.10521055531108282
